id,name,host_id,host_name,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group,city,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,reviews_per_month
48146,Executive Furnished Apartment (2 months minimum),219431,Damien,f,Renfrew-Collingwood,1,1,f,Renfrew-Collingwood,,Vancouver,49.23457,-123.02644,Condominium,Entire home/apt,2,1,1,1,$79.00,30,730,0,
49736,Boutique Studio Apartment in Kits!,227101,Sarah,f,Kitsilano,1,1,f,Kitsilano,,Vancouver,49.2674,-123.14634,Condominium,Entire home/apt,2,1,0,1,"$1,950.00",31,1125,9,0.08
54261,Yaletown 1 Bedroom Condo,254337,Edgar,f,Downtown Vancouver,2,2,f,Downtown,,Vancouver,49.27655,-123.12485,Condominium,Entire home/apt,4,1,1,1,$126.00,90,365,37,0.36
68894,Top-of-the-Line House: 5 min walk to Commerical Dr,343195,Trish,t,Grandview-Woodland,2,2,f,Grandview-Woodland,,Vancouver,49.26705,-123.06081,House,Entire home/apt,4,2,2,2,$113.00,3,365,98,0.99
70453,"Open-concept, Modern Heritage Home with over 20 Skylights",56709,Samantha Jo,t,Downtown Eastside,1,1,f,Downtown Eastside,,Vancouver,49.27947,-123.08752,House,Entire home/apt,4,1.5,2,2,$301.00,3,30,19,0.37
72659,Central Convenient Vibrant Neighbourhood!,375168,Donna,f,Commercial Drive,1,1,t,Grandview-Woodland,,Vancouver,49.27357,-123.07024,Condominium,Entire home/apt,4,1,2,2,$211.00,7,21,12,0.15
73841,Amazing Downtown Vancouver Condo!,386761,Ying Ying,f,Downtown Vancouver,1,1,t,Downtown,,Vancouver,49.27659,-123.12481,Apartment,Entire home/apt,3,1,1,1,$130.00,30,1125,13,0.13
77157,Room with a Garden View!,412802,Anne,t,Arbutus Ridge,2,2,t,Arbutus Ridge,,Vancouver,49.24675,-123.16711,Guest suite,Private room,3,1,1,2,$150.00,1,60,600,5.8
98242,"Studio, private patio, WIFI/Cbl, pets & long term!",31065,Mj,f,Fraserview,11,11,t,Sunset,,Vancouver,49.22293,-123.07785,Apartment,Entire home/apt,2,1,0,1,$56.00,30,366,467,4.61
98830,Your Downtown Executive Suite,520997,Cristina,f,Downtown Vancouver,1,1,t,Downtown,,Vancouver,49.27982,-123.12509,Apartment,Entire home/apt,2,1,1,1,$110.00,30,365,259,2.55
102268,Cozy and large studio,514310,Bibi,f,Riley Park,1,1,t,Riley Park,,Vancouver,49.25042,-123.10279,House,Entire home/apt,2,1,1,2,$60.00,30,180,100,1
111077,"Clean and Comfy, 2 Bd, Walk to the Drive",569682,Kristina,t,Grandview-Woodland,1,1,t,Grandview-Woodland,,Vancouver,49.26726,-123.05969,Guest suite,Entire home/apt,3,1,2,2,$139.00,3,365,99,0.98
118513,"White Orchid - Super comfy bed, Steps-2 Skytrain",597619,Rozsa,t,Renfrew-Collingwood,2,2,t,Renfrew-Collingwood,,Vancouver,49.24571,-123.04788,House,Private room,2,1,1,1,$61.00,30,180,34,0.35
125081,One step away from the Drive!,69746,Serge & Brigitte,t,Commercial Drive,2,2,f,Grandview-Woodland,,Vancouver,49.26772,-123.06551,Townhouse,Private room,2,1.5,1,1,$75.00,2,21,181,1.56
125176,Main Street Vineyard,622926,Mark,f,Riley Park,1,1,f,Riley Park,,Vancouver,49.24648,-123.09241,Apartment,Entire home/apt,3,1,1,2,$110.00,2,30,452,4.57
129163,"Rock Rose - Clean, Cozy, Comfy, Steps2-Skytrain.",597619,Rozsa,t,Renfrew-Collingwood,2,2,t,Renfrew-Collingwood,,Vancouver,49.24507,-123.04941,House,Private room,1,1,1,1,$44.00,30,280,50,0.56
129756,cosy room near skytrain &The Drive,69746,Serge & Brigitte,t,Commercial Drive,2,2,f,Grandview-Woodland,,Vancouver,49.26785,-123.06612,Townhouse,Private room,2,1.5,1,1,$79.00,1,21,195,1.94
134688,"West view, Transit convenient, clean & comfortable",653436,Pirike,t,Renfrew-Collingwood,5,5,f,Renfrew-Collingwood,,Vancouver,49.24493,-123.04916,House,Private room,2,1,1,1,$38.00,30,365,41,0.42
140698,"1905 Heritage Loft, Main/Broadway, Olympic Village",69640,Steve,t,Mount Pleasant,2,2,t,Mount Pleasant,,Vancouver,49.26292,-123.10581,Loft,Entire home/apt,2,1,1,2,$99.00,4,180,105,1.05
160157,City Centre and Walk to Beach,767559,Valentina,t,West End,1,1,f,West End,,Vancouver,49.28232,-123.12954,Condominium,Entire home/apt,3,1,1,1,$109.00,2,365,434,4.36
170137,Family friendly Point Grey Home,381497,Catherine,t,Dunbar-Southlands,1,1,t,Dunbar Southlands,,Vancouver,49.2571,-123.19101,House,Entire home/apt,6,2,3,3,$175.00,1,31,139,1.42
172827,Charming and Homely Downtown Penthouse,19982,Fernande,f,Downtown Vancouver,1,1,f,West End,,Vancouver,49.28161,-123.12696,Condominium,Entire home/apt,4,2,2,3,$350.00,3,21,6,0.43
174135,VANCOUVER'S BEST PRIVATE SUITE/LOFT,831892,Hollie,f,Downtown Eastside,1,1,f,Downtown Eastside,,Vancouver,49.27782,-123.08985,Guest suite,Entire home/apt,2,1,1,2,$101.00,30,365,116,1.19
182451,KITS SUPER CENTRAL DELIGHTFULL APT!,874660,Penny,f,Kitsilano,3,3,f,Kitsilano,,Vancouver,49.25962,-123.16848,Guest suite,Entire home/apt,4,1,1,1,$93.00,30,365,51,0.52
194806,D28 - Spectacular 2 bedroom,30899,Rami,f,Coal Harbour,41,41,t,Downtown,,Vancouver,49.27936,-123.10934,Condominium,Entire home/apt,5,2,2,2,$124.00,30,365,29,0.3
196722,"Three bedrooms, fantastic location!",958297,Elana & Gary,f,Commercial Drive,2,2,t,Grandview-Woodland,,Vancouver,49.26364,-123.06967,Townhouse,Entire home/apt,5,2.5,3,3,$208.00,5,30,13,0.21
200643,This is the door to Vancouver USW,981145,Dianne,f,Strathcona,4,4,t,Downtown Eastside,,Vancouver,49.27384,-123.08289,House,Private room,4,2,1,0,$87.00,1,1125,136,1.6
202211,Trout Lake Haven !,989790,Paul,f,Kensington-Cedar Cottage,4,4,t,Kensington-Cedar Cottage,,Vancouver,49.25381,-123.05951,House,Private room,2,1,1,1,$75.00,1,120,163,1.67
219261,A Real Gem in the Heart of Kits,1135259,Rami,f,Kitsilano,2,2,t,Kitsilano,,Vancouver,49.27246,-123.14954,Apartment,Entire home/apt,4,1,2,2,$200.00,1,365,157,4.25
226731,Vancouver central- 1bdrm private condo,560892,Vancouver Furnished,f,Downtown Vancouver,6,6,t,Downtown,,Vancouver,49.28406,-123.11598,Apartment,Entire home/apt,2,1,1,1,$166.00,30,365,12,0.16
226757,"Amazing views, Cultural heart of Vancouver-Robson3",560892,Vancouver Furnished,f,Downtown Vancouver,6,6,t,Downtown,,Vancouver,49.28119,-123.11883,Apartment,Entire home/apt,4,1,1,2,$211.00,30,365,8,0.09
236297,West End Retreat - Private Room/Bath,1238915,Adam,f,West End,1,1,t,West End,,Vancouver,49.29,-123.14087,Apartment,Private room,1,1.5,1,1,$150.00,1,7,39,0.62
248014,"Stunning views, comfort, location!!",1299977,Gabriella,f,Grandview-Woodland,1,1,f,Grandview-Woodland,,Vancouver,49.29074,-123.05849,House,Entire home/apt,3,1,2,0,$121.00,31,180,1,0.02
